,precision,recall,f1-score,support
happy,0.0,0.0,0.0,0.0
joy,1.0,0.14285714285714285,0.25,7.0
fear,0.0,0.0,0.0,8.0
anger,0.5,0.23076923076923078,0.3157894736842105,13.0
enthusiasm,0.0,0.0,0.0,6.0
sad,0.0,0.0,0.0,3.0
relief,1.0,0.16666666666666666,0.2857142857142857,6.0
sympathy,0.0,0.0,0.0,3.0
surprise,0.0,0.0,0.0,6.0
disgust,0.8,0.4444444444444444,0.5714285714285714,9.0
unemotional,0.3783783783783784,0.875,0.5283018867924528,32.0
accuracy,0.3978494623655914,0.3978494623655914,0.3978494623655914,0.3978494623655914
macro avg,0.3343980343980344,0.16906704406704406,0.17738492887450186,93.0
weighted avg,0.4172914850334205,0.3978494623655914,0.318473832176302,93.0
